# SCAN_PARAMETERS
# scan_start: 2025-08-08T23:52:07.557284
# download_threshold: 10000, max_file_size_gb: 5.0, rate_limit_delay: 1.5, max_workers: 4
# target_extensions: .bin,.caffemodel,.coreml,.dlc,.ggjt,.ggmf,.ggml,.gguf,.h5,.keras,.llamafile,.mar,.mlmodel,.onnx,.pb,.pkl,.pt,.pt2,.pth,.ptl,.safetensors,.tflite
# output_format: error log
# END_PARAMETERS
repo_id,filename,error_type,reason,timestamp
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_i2v_low_noise_14B_fp8_scaled.safetensors,file_too_large,File size 13.3GB exceeds limit,2025-08-08T23:56:15.314229
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_t2v_high_noise_14B_fp16.safetensors,file_too_large,File size 26.6GB exceeds limit,2025-08-08T23:56:16.892828
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_t2v_high_noise_14B_fp8_scaled.safetensors,file_too_large,File size 13.3GB exceeds limit,2025-08-08T23:56:18.909490
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_t2v_low_noise_14B_fp16.safetensors,file_too_large,File size 26.6GB exceeds limit,2025-08-08T23:56:21.793409
meta-llama/Llama-3.2-3B-Instruct,model-00001-of-00002.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:56:21.987977
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_t2v_low_noise_14B_fp8_scaled.safetensors,file_too_large,File size 13.3GB exceeds limit,2025-08-08T23:56:23.332831
meta-llama/Llama-3.2-3B-Instruct,model-00002-of-00002.safetensors,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:56:23.653121
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_ti2v_5B_fp16.safetensors,file_too_large,File size 9.3GB exceeds limit,2025-08-08T23:56:24.881794
meta-llama/Llama-3.2-3B-Instruct,original/consolidated.00.pth,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:56:25.413501
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/text_encoders/umt5_xxl_fp16.safetensors,file_too_large,File size 10.6GB exceeds limit,2025-08-08T23:56:26.420485
